moment,data,model,log_gap
labor_supply_age_76,0.038849172828160784,0.03884214969268569,-0.00018079587954851148
labor_supply_age_77,0.03748279073811484,0.0374759176875131,-0.0001833823118183568
labor_supply_age_78,0.03779450488189403,0.03778746613897355,-0.0001862545484262648
labor_supply_age_79,0.0364438400197509,0.036436940065146965,-0.0001893490881001073
wealth_share_0_25,-0.004564110867590205,0.009150383372963242,
wealth_share_25_50,0.019473000616056023,0.03669331751099338,0.6335657319562105
wealth_share_50_70,0.05518509934731778,0.0628854423184452,0.13062171775882236
wealth_share_70_80,0.0556960964642792,0.04875526631041461,-0.1330968445564943
wealth_share_80_90,0.10954867743956384,0.10782743279897604,-0.01583688854834312
wealth_share_90_99,0.3920567561506616,0.39038561190926147,-0.004271616289430016
wealth_share_99_99p5,0.09204017783150076,0.05614042159025433,-0.4943691167474659
wealth_share_99p5_99p9,0.1397506133212043,0.14685648510356447,0.04959631735469558
wealth_share_99p9_99p99,0.0894354739550075,0.08984683748278981,0.004589011000499454
wealth_share_99p99_100,0.05137821574199919,0.05145880160213433,0.0015672542574941277
wealth_income_ratio,8.427710992812798,5.427529951688396,-0.4400410627802901
bequest_flow_ratio,0.01724036860342764,0.030092532394386445,0.5570234020486232
tilt_0_50_80_89_over_60_64,1.6239816944773418,1.052815978379307,-0.4334125112966379
tilt_50_70_80_89_over_60_64,0.8730341826595547,0.826896497855676,-0.054295177018045586
tilt_70_80_80_89_over_60_64,0.7615586378678356,0.7414030096373052,-0.02682282237417463
tilt_80_90_80_89_over_60_64,0.7480298719149889,0.7286383788767203,-0.02626535488116327
tilt_90_99_80_89_over_60_64,0.7615389491621026,1.0378109299642762,0.3095275797633372
tilt_99_100_80_89_over_60_64,0.8445853152761601,1.020763067306079,0.18945997604219963
