age,cps_hours,hours_Current parameters,hours_Calibrated parameters,chi_n_Current parameters,chi_n_Calibrated parameters,scf_wealth,wealth_Current parameters,wealth_Calibrated parameters
49,0.30226186666764115,0.4310405366432463,0.3017918449284349,19.58143606,82.17993414051962,830232.7980281468,362013.4245872066,397237.6856492093
50,0.30191468742858457,0.4333453275779595,0.30480050820888743,19.58005578,81.99712961036187,745217.8965159922,393146.3452749848,436859.69637868163
51,0.31046468630060603,0.43520248920335053,0.30136707342980945,19.59073213,85.2798389708381,1234248.1179952696,426511.4181019866,480700.85565570067
52,0.2919462138798718,0.4369666123210732,0.2991863756334332,19.60190899,88.10843679099543,1081796.9313654162,461724.89389971807,525252.2293970599
53,0.29535849048890483,0.4388341768272846,0.292497088485013,19.60001831,93.94076529219782,1192087.2850774457,498587.0634637113,570828.2082550839
54,0.29038194381460436,0.41960019530849474,0.2897993556662074,21.67763741,97.78210642085335,925979.6307142982,536934.8587948595,614976.141702079
55,0.28384329311709683,0.4207978331492148,0.28801939263521154,21.70451784,101.33717338104303,1120152.2937584785,570440.1685101957,659556.486360755
56,0.29001259179165434,0.42059947522737523,0.281951789757588,21.85430468,108.25989022223135,1265718.7049627183,604836.4358076135,705032.4876230959
57,0.27217374158450897,0.4204467938995118,0.2756879698141904,21.97291208,116.0039380531195,1298150.2022658659,639751.2348736811,749292.0999205553
58,0.26504860159907667,0.421221582856327,0.2655754284867444,21.97017228,127.9351921941167,1948562.612963247,675247.0148044493,792260.5489128998
59,0.2596712231643482,0.41907568066572776,0.2551866542670097,22.25518398,141.7382752732502,1255033.994202316,711597.6445904969,831946.2554749568
60,0.2410044998662017,0.41764163140927285,0.24413010086554793,22.43969757,158.2400956140734,1508268.3978574395,747850.562687464,868073.7839466992
61,0.23187614152087405,0.41050850944235845,0.23026210484506834,23.21870602,181.2371241721913,1468652.8004348245,783993.4006638861,900070.9427736484
62,0.21806267364236812,0.4016578741443712,0.21556775939456674,24.18334822,210.12569043893828,1307516.746778346,817968.684175342,926183.4818407639
63,0.19691584607919285,0.39384073059180297,0.19907501829815066,24.97772026,249.27539734698527,1355893.9856295765,848804.8428650893,945587.8393404805
64,0.18238999049520807,0.38098358275763616,0.17989790113359702,26.37663164,306.8149576625542,1286145.728660636,876350.3418017258,957093.1952662794
65,0.16051967504628376,0.3579384084638448,0.15842245908337058,29.65075992,397.3035362211498,1587659.4985451326,930711.0678549367,994431.7341005778
66,0.13247762092170826,0.3523286319384168,0.13521501750360912,30.46944758,545.7247611507198,1492304.0540564004,978022.5112131254,1022347.0888574645
67,0.11275422202776327,0.34601252918517306,0.11369938447773778,31.51634777,770.4080441381594,1617015.9428021044,1023445.4836519479,1040590.7122425839
