year,age,networth,networth_infadj,wgt,income,wageinc,bussefarminc,intdivinc,kginc,ssretinc,transfothinc,income_infadj
2010,68,1579143.245942572,1877892.2505816359,2537.603709718173,273421.55480101734,0.0,29146.46015645362,1054.8242723287979,-2359.4753459986264,147120.22745638495,83275.60044701035,325148.60208032397
2010,68,1498889.263420724,1782455.4798875775,2095.21348487679,281749.1148457183,0.0,29146.46015645362,1054.8242723287979,-2498.2680134103107,147120.22745638495,84663.52712112719,335051.6051893693
2010,53,552627.0661672909,657175.3941155511,2246.9632228168402,40249.873549388336,40249.873549388336,0.0,0.0,0.0,0.0,0.0,47864.51502705277
2010,53,552613.4082397004,657159.1523233976,2186.5500867696514,40249.873549388336,40249.873549388336,0.0,0.0,0.0,0.0,0.0,47864.51502705277
2010,53,552613.4082397004,657159.1523233976,2077.119271930788,40249.873549388336,40249.873549388336,0.0,0.0,0.0,0.0,0.0,47864.51502705277
2010,53,552627.0661672909,657175.3941155511,2302.31499785493,40249.873549388336,40249.873549388336,0.0,0.0,0.0,0.0,0.0,47864.51502705277
2010,53,552490.4868913857,657012.9761940159,2186.918233161131,40249.873549388336,40249.873549388336,0.0,0.0,0.0,0.0,0.0,47864.51502705277
2010,42,208829.71285892633,248337.00202725464,4351.169194580955,129077.18069286605,130465.10736698288,0.0,0.0,0.0,0.0,0.0,153496.5481902037
2010,42,527059.4257178527,626770.7592041697,2855.243296808084,109646.20725523029,111034.13392934715,0.0,0.0,0.0,0.0,0.0,130389.54093576442
2010,42,132072.15980024968,157058.13012449653,4407.928445194191,136016.81406345023,136016.81406345023,0.0,0.0,0.0,0.0,0.0,161749.05078107485
2010,42,227814.23220973782,270913.0931206414,4307.008163638087,113809.98727758082,113809.98727758082,0.0,0.0,0.0,0.0,0.0,135341.04249028713
2010,42,208283.39575530586,247687.330341114,4378.029156401522,109646.20725523029,109646.20725523029,0.0,0.0,0.0,0.0,0.0,130389.54093576442
2010,72,754259.0511860175,896952.971677903,3425.7248414336864,45801.58024585569,0.0,0.0,8605.145379524403,8327.560044701035,30534.386830570464,0.0,54466.51709974969
2010,72,754327.34082397,897034.1806386706,3331.706290094388,44413.653571738854,0.0,0.0,13185.30340410997,8327.560044701035,36086.09352703782,0.0,52816.016581575466
2010,72,754190.7615480649,896871.7627171354,3165.7360840017873,48577.43359408938,0.0,0.0,8327.560044701035,8327.560044701035,29146.46015645362,0.0,57767.51813609817
2010,72,752961.5480649188,895410.001423319,3516.4861025329583,45801.58024585569,0.0,0.0,8743.938046936088,8327.560044701035,36086.09352703782,0.0,54466.51709974969
2010,72,752824.9687890137,895247.5835017838,3327.0501184226937,47189.506919972526,0.0,0.0,10270.657388464611,8327.560044701035,34698.16685292098,0.0,56117.01761792393
2010,67,671396.404494382,798414.0186825234,3771.4507656389383,265093.9947563163,192921.80770224065,0.0,3469.8166852920986,0.0,69396.33370584196,0.0,315245.5989712786
2010,67,671601.2734082397,798657.6455648262,3662.029119234873,265093.9947563163,191533.8810281238,0.0,3469.8166852920986,0.0,69396.33370584196,0.0,315245.5989712786
2010,67,673499.7253433209,800915.2546741649,3488.612122828621,265093.9947563163,192921.80770224065,0.0,3469.8166852920986,0.0,68008.40703172512,0.0,315245.5989712786
2010,67,673595.3308364544,801028.9472192394,3869.1664148045575,265093.9947563163,192921.80770224065,0.0,3469.8166852920986,0.0,69396.33370584196,0.0,315245.5989712786
2010,67,672844.1448189763,800135.6486507962,3664.098473971974,265093.9947563163,192921.80770224065,0.0,3331.024017880414,0.0,69396.33370584196,0.0,315245.5989712786
2010,56,44722.88389513108,53183.74840668707,3285.3369417498748,68008.40703172512,0.0,0.0,0.0,0.0,68008.40703172512,0.0,80874.52539053743
2010,56,39758.22721598003,47279.85695888413,3283.86106898718,68008.40703172512,0.0,0.0,0.0,0.0,68008.40703172512,0.0,80874.52539053743
2010,56,30600.586766541823,36389.73531995186,3281.7876370394506,68008.40703172512,0.0,0.0,0.0,0.0,68008.40703172512,0.0,80874.52539053743
